By downloading this data it is implied that you have read and agreed to the Disclaimer Document
and will abide by its terms and conditions.

This report was generated at 06:07:25 on 19 June 2017.

WELL HEADER DATA
ORDERED BY WELL NAME
WELL NAME,WELL ALIAS,ENO,UNO,STATE,LATITUDE(Dec Deg;GDA94),LONGITUDE(Dec Deg;GDA94),UTM ZONE,EASTING,NORTHING,ORIGINAL GEOGRAPHIC DATUM,BASIN/SUB-BASIN (WCR),BASIN/SUB-BASIN (GA),WELL STATUS,TOTAL DEPTH DATE,TOTAL DEPTH(mKB),WELL TYPE,PLATFORM,FIELD,LOCATION,ELEVATION/WATER DEPTH(m),TITLE,LAW,OPERATOR,CONTRACTOR,RIGMAKE/RIGMODEL,SPUD DATE,RIG RELEASE DATE,KELLY BUSHING/ROTARY TABLE,KB/RT HEIGHT(m),REMARK,OBJECTIVE (WCR),SUMMARY (WCR),RESFACS_SAMPLES,ORGCHEM_SAMPLES,STRATDAT_SAMPLES,CUTTINGS,CONVENTIONAL_CORES,UNSPECIFIED_CORES,SIDEWALL_BULLET_CORES,SIDEWALL_MECHANICAL_CORES
"Anson 1","",5787,"W8900020","AC",-12.5016058,124.8047856,Longitude / Latitude (GDA 94),51,696126.173,"8617309.957","Bonaparte Basin/Vulcan Sub-basin","Bonaparte Basin/Vulcan Sub-basin","abandoned","17-AUG-1990",1860,"exploration","","none","off",-98,"AC/P12","PSLA","Santos Limited","Global Marine","","31-JUL-1990","24-AUG-1990","rotary table",11,"Anson failed to find oil shows in its primary objective the Triassic sandstones. A possible interpretation for well failure may be related to over simplified structural history prognonis of the Talbot Horst Block.Anson 1 was plugged and abandoned, dry. Anson failed to find oil shows in its primary objective the Triassic sandstones. A possible interpretation for well failure may be related to over simplified structural history prognonis of the Talbot Horst Block. The Talbot horst block contains both the Anson and Talbot structures has experienced a complicated history of faulting, erosion and reactivation. Consequently, the relationship between Talbot and Anson has not remained constant through time. Residual hydrocarbons from cutting and sidewall cores may indicate a hydrocarbon pool that initially was reservoired in Anson has subsequently spilled, possibly to Talbot. Anson was plugged and abandoned.Located 12km SW of Talbot 1 oil discovery and 700km W of Darwin.","Petroleum","","33","","11","0","0","0","0","0"
"Anson North 1","",5788,"W8200203","AC",-12.4908332,124.8300333,Longitude / Latitude (GDA 94),51,698878.927,"8618482.917","Bonaparte Basin/Vulcan Sub-basin","Bonaparte Basin/Vulcan Sub-basin","abandoned","22-FEB-2002",1950,"exploration","","none","off",-115.4,"AC/P26","PSLA","Anadarko Australia Company Pty Ltd (AAC)","Diamond Offshore","","15-FEB-2002","26-FEB-2002","rotary table",22,"Coordinates from Who's DrillingAnson North-1 was spudded on the 15th February 2002 and penetrated a sedimentary section ranging in age from Tertiary to Late Triassic. Below the base Cretaceous unconformity the stratigraphy encountered was not as predicted; a significant thickness of Jurassic age rocks subcropped the unconformity and the primary objective Late Triassic Nome Formation was encountered beneath the Jurassic and significantly low to prognosis. The Plover Formation overlies the primary objective Late Triassic Nome Formation with apparent conformity at 1880mMD (-1858mTVDSS). This pick is not well defined on wireline logs and coincides with a palynology change to Late Triassic assemblages below 1883.5mMD. The reservoir quality of the sands within the Lower Vulcan Formation, Plover Formation and Nome Formation varies from poor to good, often with abundant detrital clay matrix and locally with calcite cementation. Background gas levels were low, increasing slightly below 1700m (generally 0.2-0.4%). Maximum gas of 0.66% was recorded in the Plover Formation. No fluorescence was detected in samples while drilling, but most SWCs through the basal Cretaceous and Jurassic sequences exhibited weak to minor cut fluorescence, possibly representative of residual and/or migrated hydrocarbon. TD was 1950mMD. Log evaluation confrms the absence of hydrocarbons in the Lower Vulcan, Plover and Nome Formation reservoir sands.Anson North 1 is located 3km NE of Anson 1 and 7km SW of Talbot 1.","Petroleum","","49","5","18","0","0","0","0","5"
"Argus 1","",5826,"W8200011","AC",-13.2101703,122.5522081,Longitude / Latitude (GDA 94),51,451481.577,"8539578.819","Browse Basin/Caswell Sub-basin","Browse Basin","abandoned","14-SEP-2000",4878,"exploration","","Argus","off",-572,"AC/P30","PSLA","BHP Petroleum Pty Ltd","Diamond Offshore","","21-JUN-2000","30-SEP-2000","rotary table",22,"Argus 1 spudded on 21/06/2000 and was drilled to a depth of 4878mRT. At 3770mRT mud gas levels increased from 0.1 to 10% and remained high for the rest of the section. At 3951mRT (Paleocene) a flow check showed the well to be flowing. Wireline log interpretation indicates a weak gas effect over the interval 3950.5- 3952mRT with water saturations as low as 35%. Fluorescence was observed in the mud from 3781-3952mRT with analysis confirming the existence of liquid hydrocarbons. Argus 1 intersected a gas sand within the Late Jurassic, Vulcan Formation (4635- 4675mRT). The best porosity occurs over the interval 4653-4657mRT, with a water saturation of 50-60%. MDT pretests confirm a gas gradient of 0.45 psi/m. Gas samples were recovered at 4656.2mRT and showed the gas to have a low liquid content ranging from 4.86 to 6.55 bbls/mmscf. Below 4700mRT, instead of Plover Formation sandstones as prognosed, a volcanic sequence was encountered. Some gas saturation has been interpreted through the igneous section but there is no evidence of significant reservoir potential. Sidewall cores obtained from this interval are described as dolerite and may have some secondary porosity resulting from dissolution of secondary carbonate or chlorite. It appears likely that a single gas column is present and that the well was still in the gas column at total depth. Argus 1 was plugged and abandoned as a non-commercial gas discovery and the rig released on 30/09/2000.Argus 1 is located approx. 1km NE of Buffon 1 and 95km WNW of Basset 1.","Petroleum","","151","5","74","0","0","0","5","0"
"Argus 2","",537627,"","AC",-13.2097639,122.6203417,Longitude / Latitude (GDA 94),51,458863.917,"8539635.945","Browse Basin/Caswell Sub-basin","Browse Basin","abandoned","28-JUL-2011",4706,"appraisal","","none","off",-540,"AC/RL8","OPGGSA","Woodside Energy Ltd.","Diamond Offshore","","02-JUN-2011","14-SEP-2011","rotary table",26.2,"","Petroleum","","","","","0","0","0","0","0"
"Argus 2 ST1","",548606,"","AC",-13.2097639,122.6203417,Longitude / Latitude (GDA 94),51,458863.917,"8539635.945","Browse Basin/Caswell Sub-basin","Browse Basin","abandoned","25-AUG-2011",4718,"appraisal","","none","off",-540,"AC/RL8","OPGGSA","Woodside Energy Ltd.","Diamond Offshore","","17-AUG-2011","14-SEP-2011","rotary table",26.2,"","Petroleum","","","","","0","0","0","0","0"
"Arlo 1","",514633,"","AC",-12.9778544,123.7859328,Longitude / Latitude (GDA 94),51,585237.593,"8565181.98","Browse Basin/Caswell Sub-basin","Browse Basin","abandoned","03-NOV-2009",3610,"exploration","","none","off",-202.7,"AC/P37","OPGGSA","Apache Northwest Pty Ltd","Stena Drilling Limited","","11-OCT-2009","11-NOV-2009","rotary table",25,"Result unreported.","Petroleum","","","","","0","0","0","0","0"
"Arunta 1","",5856,"W8890003","AC",-11.9740588,124.9530867,Longitude / Latitude (GDA 94),51,712669.447,"8675562.658","Bonaparte Basin/Vulcan Sub-basin","Bonaparte Basin/Vulcan Sub-basin","abandoned","25-APR-1989",2500,"exploration","","none","off",-122,"AC/L1","PSLA","BHP Petroleum Pty Ltd","Maretech Ocean Services","","28-MAR-1989","01-MAY-1989","kelly bushing",17.7,"Gas shows (consisting mainly of methane) of up to 1.3% were recorded within the lower section of the Cretaceous and the upper section of the Upper Jurassic (1720-1825 mKB).Gas shows,(consisting mainly of methane),of up to 1.3% were recorded within the lower section of the Cretaceous and the upper section of the Upper Jurassic (1720-1825 mKB). The gas readings decreased to zero at 1825 mKB, within the Upper Jurassic siltstones. No fluorescence was recorded whilst drilling the well. From the TOC data measured from sidewall cores in the Lower Vulcan Formation, it is apparent that the argillaceous siltstones are a potential source rock. The Rock-Eval pyrolysis data and the pyrolysis gas chromotography (PGC) analysis indicate that the Lower Vulcan Fm would generate both oil and gas at oil window maturity with the PGC analysis indicating a preference for oil. However, the sediments are not mature within this well (e.g.vitrinite reflectance of 0.43 at 2138 mKB) and would need to be encountered at greater depth to have been responsible for sourcing accumulated hydrocarbon. The Arunta-1 well is interpreted to have been drilled on the downthrown side of a major (pre-Valanginian) fault. Therefore, the hydrocarbon potential of the Arunta prospect has not been completely evaluated. The well was plugged and abandoned.Arunta-1 is located approximately 8km southwest of Jabiru-1A and 17km northwest of Challis-1","Petroleum","","92","30","8","30","0","0","0","0"
"Asterias 1","",5864,"W8870003","AC",-13.1509288,124.1212639,Longitude / Latitude (GDA 94),51,621524.49,"8545902.967","Browse Basin/Caswell Sub-basin","Browse Basin","abandoned","24-JUN-1987",1607,"exploration","","none","off",-194.4,"AC/P3","PSLA","BHP Petroleum Pty Ltd","Maretech Ocean Services","","14-JUN-1987","15-SEP-1987","kelly bushing",17.6,"Asterias-1 was drilled in the Territory of Ashmore and Cartier Islands Permit AC/P3 between June and September, 1987 by the drillship Energy Searcher. Previously, no wells had been drilled in this permit and only scant regional seismic cover was available prior to the area being awarded to BHP Petroleum in 1985. The Asterias prospect was mapped as a faulted anticline formed at the junction of two faults at the Lower Cretaceous primary target horizon. Secondary targets were identified at the Maastrichtian and Early Tithonian levels. The well was drilled to a total depth of 4400 mRT (4383 mSS) through a sequence of sandstones, siltstones, claystones and carbonates which ranged in age from Recent to Upper Jurassic. Unconformities were encountered at base Miocene, base Early Campanian,Turonian and Valanginian horizons. Although no moveable hydrocarbons were encountered, minor hydrocarbon indications in the sandstones, siltstones and claystones were present from 3300 mRT to total depth. Moreover,significant residual hydrocarbons were encountered within thin sands of Tithonian age from 4306 to 4338 mRT. Water saturations were sufficiently high however, and within sands which were very thin that testing was not warranted. Asterias-1 was unsuccessful in discovering economic, producible hydrocarbons due to a combination of factors. At the Maastrichtian and Lower Cretaceous levels, the prospect appears to lack adequate structuring while at the Upper Jurassic horizon, poor top and lateral seals are probably responsible. In addition, the geochemical source potential of all the horizons sampled is particularly poor. The abundance of minor hydrocarbon shows over the Lower Cretaceous/ Upper Jurassic sequence suggests that it has been charged by richer source rocks present at some distance away from this location. Asterias-1 was plugged and abandoned as a dry hole with minor oil and gas shows on 15 September, 1987. (Company Summary, Interpretative Data, Well Completion Report).Located 650km W of Darwin and 175km SW of Challis field.","Petroleum","","95","","","0","0","0","0","0"
"Asterias 1 ST1","",448299,"","AC",-13.1509288,124.1212639,Longitude / Latitude (GDA 94),51,621524.49,"8545902.967","Browse Basin/Ashmore Platform;Cartier Trough;Caswell Sub-basin","Browse Basin","abandoned","07-SEP-1987",4402,"exploration","","none","off",-194.4,"AC/P3","PSLA","BHP Petroleum Pty Ltd","Maretech Ocean Services","","29-JUN-1987","15-SEP-1987","kelly bushing",17.6,"","Petroleum","","2157","132","81","97","0","0","35","0"
"Audacious 1","",5873,"W8200101","AC",-11.7191755,125.1024958,Longitude / Latitude (GDA 94),51,729157.469,"8703644.794","Bonaparte Basin/Vulcan Sub-basin","Bonaparte Basin/Vulcan Sub-basin","abandoned","31-JAN-2001",2055,"exploration","","Audacious","off",-170,"AC/P17","PSLA","Cultus Timor Sea Ltd","Diamond Offshore","","18-JAN-2001","19-FEB-2001","rotary table",22,"Stratigraphic units encountered ranged from the Barracouta Formation (Early Tertiary) to the Plover Formation (Mid Jurassic). Although significant gas shows of up to 5.7% were encountered, no direct or cut fluorescence was noted in cutting samples. Seven sidewall cores acquired over the interval from 1904mRT to 1915.5mRT showed moderate to very strong bright bluish white direct fluorescence. An 11.3m gross oil column is interpreted to be present within the Plover Formation, below 1903.8mRT. Wireline formation samples recovered from depths of 1908.8mRT and 1913.5mRT contained 3.25 litres of 55? API oil and 212.38 litres of gas and 3.0 litres of oil with 226.53 litres of gas respectively. Audacious-1 was plugged and abandoned as a new field oil discovery on 13 February 2001.Audacious 1 is located 1km SE of Kym 1 and 9km SE of Cockell 1.","Petroleum","","51","","14","0","0","0","0","0"
"Audacious 2","",5874,"W8200107","AC",-11.7331849,125.0867118,Longitude / Latitude (GDA 94),51,727424.939,"8702107.527","Bonaparte Basin/Vulcan Sub-basin","Bonaparte Basin/Vulcan Sub-basin","abandoned","20-NOV-2001",2235,"appraisal","","Audacious","off",-172.3,"AC/P17","PSLA","Cultus Timor Sea Ltd","Diamond Offshore","","05-NOV-2001","26-NOV-2001","rotary table",22,"Plugged and abandoned due to technical difficulties. Unable to run wireline past 1534m. Core was cut from 1977 to 2031m. Well confirmed presence of oil accumulation.Audacious-2 penetrated a stratigraphic sequence comprising of a carbonate dominated interval from seafloor down to approximately 1840mRT, a claystone dominated interval from 1840mRT to 1993mRT and an interbedded sandstone, silty sandstone and claystone interval from 1993mRT to total depth (2235mRT). Gas shows of up to 2.6% were encountered in the well during coring over the interval 2013- 2031mRT. Both direct and cut fluorescences were absent in ditch cuttings. Cut fluorescence was observed in core chips over the interval 1998.45 to 2029.9mRT and direct fluorescence was observed on the slabbed core from 2019 to 2029.8mRT. There were no Drill Stem Tests performed in this well. Audacious-2 was plugged from 1483mRT and abandoned on 25 November 2001.Audacious 2 is located 2km SW of Audacious 1 and 2km SSW of Kym 1.","Petroleum","","14","","","0","0","0","0","0"
"Audacious 3","",34281,"W8200302","AC",-11.7384613,125.0829129,Longitude / Latitude (GDA 94),51,727006.42,"8701526.794","Bonaparte Basin/Vulcan Sub-basin","Bonaparte Basin/Vulcan Sub-basin","abandoned","06-JUN-2003",2023,"exploration","","none","off",-171.3,"AC/P17","PSLA","OMV Timor Sea Pty Ltd","Diamond Offshore","","27-MAY-2003","16-JUN-2003","rotary table",25,"","Petroleum","","13","","","0","0","0","0","0"
"Audacious 4","",34283,"W8200303","AC",-11.7384613,125.0829129,Longitude / Latitude (GDA 94),51,727006.42,"8701526.794","Bonaparte Basin/Vulcan Sub-basin","Bonaparte Basin/Vulcan Sub-basin","abandoned","12-JUN-2003",2070,"exploration","","none","off",-171.3,"AC/P17","PSLA","OMV Timor Sea Pty Ltd","Diamond Offshore","","09-JUN-2003","16-JUN-2003","rotary table",25,"","Petroleum","","","","","0","0","0","0","0"
"Audacious 5","",466347,"","AC",-11.720428,125.101128,Longitude / Latitude (GDA 94),51,729007.294,"8703507.323","Bonaparte Basin/Vulcan Sub-basin","Bonaparte Basin/Vulcan Sub-basin","abandoned","28-AUG-2008",1990,"appraisal","","none","off",-172,"AC/RL6","OPGGSA","OMV Timor Sea Pty Ltd","Songa Offshore","","14-AUG-2008","01-SEP-2008","rotary table",25,"","Petroleum","","","","","0","0","0","0","0"
